Name der Messeinstellungsdaten;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Dim01;Dim02;Dim04;Dim05;Dim06 - 1;Dim06 - 2;Dim06 - 3;Dim06 - 4;Dim07 - 1;Dim07 - 2;Dim07 - 3;Dim07 - 4;Dim14;Dim16;Dim17;Dim18;Dim19;Dim20;Dim03 - long;Dim03 - short;Dim03 - corner
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;8;OK;fknar;1;15.3759;8.3781;14.6164;7.6009;2.3278;2.3285;2.3401;2.3544;1.8602;1.8828;1.8779;1.8892;0.0383;0.0091;0.0187;0.0074;0.0161;0.0231;5.6;5.5987;5.6005
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;9;N.i.O.;fknar;1;15.3592;8.385;14.6004;7.6055;2.326;2.3193;2.3843;2.3253;1.856;1.8547;1.8758;1.8845;0.0383;0.0354;0.0362;0.023;0.0188;0.0234;5.6057;5.601;5.6007
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;10;N.i.O.;fknar;1;15.3463;8.3959;14.5992;7.6201;2.3744;2.3716;2.3874;2.3754;1.8808;1.8937;1.8918;1.8824;0.0301;0.0127;0.0138;0.0148;0.0215;0.0162;5.5992;5.5974;5.6004
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;11;N.i.O.;fknar;1;15.3679;8.3989;14.6069;7.6178;2.3416;2.3565;2.3281;2.3586;1.8751;1.8875;1.8616;1.8706;0.0185;0.0233;0.0445;0.0154;0.0238;0.0179;5.5993;5.5993;5.6011
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;12;OK;fknar;1;15.3619;8.3864;14.6089;7.6074;2.3143;2.333;2.3645;2.3457;1.8706;1.8774;1.8623;1.8635;0.0385;0.0175;0.027;0.0129;0.0151;0.0228;5.6008;5.5989;5.5994
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;13;OK;fknar;1;15.3672;8.3916;14.6115;7.614;2.3311;2.3462;2.4086;2.349;1.8556;1.8854;1.8617;1.8694;0.0387;0.0191;0.0214;0.0095;0.0194;0.0184;5.5994;5.5939;5.5955
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;14;N.i.O.;fknar;1;15.344;8.3964;14.6028;7.6153;2.4098;2.3367;2.334;2.3586;1.8916;1.871;1.8747;1.8755;0.0367;0.0106;0.0402;0.0134;0.0232;0.0203;5.5993;5.5942;5.5944
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;15;OK;fknar;1;15.3678;8.387;14.6108;7.6092;2.3414;2.3579;2.3306;2.3271;1.8594;1.8699;1.8501;1.8707;0.0218;0.0199;0.0292;0.0185;0.017;0.0169;5.6089;5.6002;5.6015
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;16;N.i.O.;fknar;1;15.361;8.397;14.6052;7.62;2.3351;2.3413;2.3337;2.3339;1.8805;1.8869;1.8645;1.8702;0.0272;0.0083;0.0404;0.0108;0.0296;0.0248;5.601;5.6039;5.6015
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;17;N.i.O.;fknar;1;15.3539;8.3904;14.6082;7.612;2.3654;2.3736;2.3852;2.3732;1.874;1.8905;1.896;1.8721;0.0277;0.0116;0.0272;0.0172;0.0263;0.023;5.6029;5.5977;5.6009
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;18;N.i.O.;fknar;1;15.3753;8.379;14.6087;7.6048;2.3247;2.3378;2.3518;2.3389;1.8581;1.869;1.8833;1.8742;0.0447;0.017;0.0173;0.0148;0.0135;0.0221;5.5989;5.5946;5.5929
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;19;N.i.O.;fknar;1;15.3575;8.3957;14.5993;7.6179;2.3263;2.3489;2.3283;2.3387;1.8583;1.878;1.8443;1.875;0.0201;0.0125;0.0155;0.0083;0.0259;0.0221;5.6025;5.6033;5.6034
